Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time2015-07-10T08:39:02.328,E3B2 69DF, A,E1,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:04.510,28FA 24FF, 4,CD,2015-07-10T08:39:01.646,ASL/16/3937*23
2015-07-10T08:41:16.949,334B 4B52, C,8C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:18.932,334B 4B52, C,6C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:19.924,3B4B 4B52, C,9D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:20.951,334B 4B52, C,7C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:21.907,334B 4B52, C,7C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:32.810,334B 4B52, C,9B,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:36.777,334B 4B52, C,8C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:41.734,134B 4B52, C,5D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:58.677,234B 4352, C,6E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:59.666,4B52 4B2D, D,59,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:00.656,4B52 4B2D, D,89,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:01.647,4B52 4B2D, D,69,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:02.640,4B52 4B2D, D,59,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:03.633,4B52 4B2D, D,49,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:04.627,4B52 4B2D, D,99,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:05.619,4B52 4B2D, D,A9,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:06.609,4B52 4B2D, D,98,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:07.598,4B52 4B2D, D,B9,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:08.587,4B52 4B2D, D,78,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:09.578,4B52 4B2D, D,89,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:10.569,4B52 4B2D, D,69,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:11.557,4B52 4B2D, C,AB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:13.444,4B52 4B2D, C,FA,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:42:20.382,334B 4B52, C,6C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:45:47.548,3303 0B50, C,4E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:45:48.535,4B52 4B2D, D,39,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:07.832,4B52 4B2F, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:08.819,4B52 4B2D, D,28,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:36.940,4B52 4B2F, D,49,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:37.931,4B52 4B2D, C,BC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:38.922,4B52 4B2D, C,AC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:40.904,4B52 4B2D, C,9C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:41.895,4B52 4B2D, C,9C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:42.548,4B52 4B2D, C,CB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:43.874,3143 4A52, C,5E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:44.862,4B52 4B2D, C,AC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:45.514,4B52 4B2D, C,CB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:46.843,304B 4B50, C,4D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:47.833,4B52 4B2D, C,BA,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:49.806,4B52 4B2D, C,CB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:52.423,4B53 FFFF, C,E9,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:55.379,314B 4B52, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:57.344,334B 4B52, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:46:58.326,E000 0000, C,9A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:04.494,334F FFF0, C,9E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:05.483,334B 4B52, C,7C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:07.457,334B 4B52, C,9D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:12.576,334B 4B52, C,AD,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:17.172,4B52 4B2D, C,EA,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:18.160,334B 4B52, C,AD,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:20.131,3343 4B52, C,4D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:22.099,3249 4B52, C,7E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:28.468,33C0 0000, C,8A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:30.442,3349 4B52, C,7E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:32.416,334B 4B52, C,9D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:33.395,4B52 4B2D, C,AA,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:39.106,337F FFF0, C,AE,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:41.083,334B 4B52, C,BC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:44.043,334B 4B52, C,8C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:45.028,334B 4B52, C,8B,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:47.984,334B 4B52, C,9D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:49.955,334B 4B52, C,9C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:50.939,334B 4B52, C,7D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:51.924,334B 4B52, C,7C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:54.876,334B 4B52, C,5E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:47:58.810,314B 4B52, C,8C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:04.458,334F FFFC, C,BE,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:06.433,334B 4B52, C,AC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:07.420,334B 4B52, C,AC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:09.392,334B 4B52, C,9C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:10.379,234A 4B52, C,AD,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:11.365,334B 4B52, C,BD,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:14.324,334B 4B52, C,8C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:25.926,3343 4B52, C,5E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:27.900,324B 4B52, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:35.916,334B 4B52, C,AD,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:37.899,334B 4B52, C,5E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:40.874,334B 4B52, C,5C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:43.849,334B 4B52, C,7D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:48.808,334B 4B52, C,8E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:50.791,334B 0B50, C,4E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:48:58.725,334B 4B52, C,7D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:00.709,334B 4B52, C,7D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:01.701,334B 4B52, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:02.692,334B 4B52, C,6D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:04.675,334B 4B52, C,6D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:05.659,336B AF74, C,DC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:06.660,334B 2D66, C,DA,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:07.651,334B 4B52, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:09.269,334B 4B52, C,4D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:10.258,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:10.627,4B52 4B2D, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:11.246,334B 4B52, C,5D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:12.235,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:12.611,4B52 4B2D, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:13.223,230B 4B52, C,5D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:14.212,4B52 4B2D, D,0A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:15.202,4B52 4B2D, C,E9,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:16.194,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:16.578,4B52 4B2D, C,E9,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:17.187,3343 4B52, C,7C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:18.180,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:18.562,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:19.171,334B 4A42, C,7E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:20.161,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:21.148,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:21.538,4B52 4B2D, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:22.134,134B 4B52, C,5F,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:25.506,4B52 4B2F, D,4A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:26.497,334B 0B42, C,6E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:28.470,334B 4B52, C,7E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:29.459,4B52 4B2D, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:30.447,4B52 4B2D, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:31.435,4B52 4B2D, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:32.420,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:34.432,4B53 FFFF, D,18,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:36.416,334B 4B52, C,4C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:44.932,324B 4B52, C,5E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:45.921,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:46.908,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:53.137,4B52 4B2D, D,39,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:54.129,4B52 4B2D, D,39,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:55.119,4B52 4B2D, D,49,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:56.107,4B52 4B2D, D,39,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:57.098,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:58.088,4B52 4B2D, D,3A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:49:59.078,4B52 4B2D, D,39,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:00.101,4B52 4B2D, D,39,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:01.051,4B42 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:03.552,4B52 7FFF, D,2A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:13.279,5506 4A49, C,3F,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:14.271,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:15.261,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:16.251,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:17.241,4352 4B2D, D,49,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:18.230,4B52 4B2D, D,3A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:19.218,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:20.205,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:21.191,4B52 4B2D, D,5A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:22.176,4B52 4B2D, D,49,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:26.605,4B5F FFFF, D,5A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:27.598,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:28.591,4B52 4B2D, D,2A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:29.583,4B52 4B2D, D,39,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:30.576,4B52 4B2D, D,49,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:31.568,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:32.560,4B52 4B2D, D,1A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:33.552,4B52 4B2D, D,39,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:34.545,4B52 4B2D, D,3A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:35.537,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:36.529,4B52 4B2D, D,3A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:37.521,4B52 4B2D, D,2A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:38.512,4B52 4B2D, D,2A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:39.503,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:40.492,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:41.481,4B52 4B2D, D,39,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:42.471,4B52 4B2D, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:43.458,4B52 4B2D, D,2A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:50:44.444,4B52 4B2D, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:04.093,4B52 4B2F, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:05.084,4B52 4B2D, D,0B,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:06.073,4B52 4B2D, C,FB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:07.060,4B52 4B2D, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:11.451,4B52 4B2D, C,EB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:13.437,4B52 4B2D, C,DA,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:14.429,4B52 4B2D, D,2A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:15.421,4B52 4B2D, D,2A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:16.411,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:17.400,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:18.389,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:19.378,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:20.367,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:21.356,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:22.344,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:23.332,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:24.321,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:26.336,4B52 4B2D, D,19,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:27.291,4B52 4B2D, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:28.283,4B52 4B2D, D,1A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:29.275,4B52 4B2D, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:30.268,4B52 4B2D, D,3A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:31.261,4B52 4B2D, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:32.254,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:33.246,4B52 4B2D, D,2A,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:34.235,4B52 4B2D, D,29,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:35.221,4B52 4B2D, C,F9,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:51.372,4B3F FFF8, D,09,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:51:52.360,4B52 4B2D, C,FB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:52:25.522,4B52 4B2D, C,DA,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:12.352,5566 4B43, C,7E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:17.300,334B 4B52, C,9E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:21.254,334B 4B52, C,9C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:24.213,234B 4B52, C,8C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:26.184,334B 4B52, C,BD,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:29.144,3303 4B52, C,AD,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:30.131,334B 4B52, C,BC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:31.117,334B 4B52, C,9C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:32.103,334B 4B52, C,7D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:49.945,104B 4B52, C,9D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:51.547,234B 4B50, C,5D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:53.542,334B 2D34, C,EA,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:54.540,334B 2D00, C,E9,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:55.894,334B 2D3F, C,DB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:57.877,334B 4B52, C,6D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:53:59.555,330B 4B52, C,6D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:54:00.557,334B 2D34, C,AC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:54:01.843,334B 2D34, C,AB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:54:02.560,334B 4B52, C,7C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:54:03.560,334B 2D34, C,DB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:54:04.559,334B 2D34, C,BB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:54:05.556,334B 2D34, C,9C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:54:07.793,334B 2D3F, C,DB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:55:43.596,204B 4B52, C,6E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T09:04:12.904,4566 4B03, C,5F,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T09:09:50.178,3348 2D34, C,F9,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T09:10:01.680,5566 4B4B, C,6E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T09:10:02.690,5566 4B4B, C,BC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T09:10:05.706,5566 4B4B, C,EA,2015-07-10T08:39:01.646,ASL/16/3937*23

