Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time2015-09-06T10:18:39.958,E392 615E, A,E1,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:18:45.581,00BA 24FF, 4,CD,2015-09-06T10:18:39.514,ASL/16/3937*2F
2015-09-06T10:19:35.411,5566 552D, D,C8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:35.991,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:36.399,5566 552F, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:37.386,5566 4B2A, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:38.372,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:39.358,5566 4B00, D,39,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:45.517,557F FFF0, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:46.507,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:47.495,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:49.468,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:54.772,5566 4FFF, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:55.436,5566 4B4B, C,C9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:55.779,5566 4B2A, C,DA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:56.425,5566 4B4B, D,48,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:56.786,5566 4B2A, C,BA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:57.413,5566 4B4B, D,89,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:58.400,5566 4B2A, C,FA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:58.799,5566 4B2B, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:59.806,5566 4B4B, D,F8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:03.839,5566 4B4B, D,58,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:04.859,5567 FFFF, C,FA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:05.848,5566 4B2A, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:06.836,5566 4B2A, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:07.824,5566 4B2A, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:08.810,5566 4B2A, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:14.964,5566 4FFF, D,1A,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:15.953,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:16.941,5566 4B2A, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:17.928,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:18.914,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:25.195,5566 7FFF, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:26.184,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:28.158,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:29.144,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:35.672,5567 FFFC, C,FA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:36.661,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:37.649,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:38.636,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:39.622,5566 4B2A, C,FA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:45.965,5567 FFFF, C,FA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:46.954,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:48.928,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:52.498,5566 4B2F, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:53.508,5566 552D, E,58,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:55.823,5566 552F, D,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:56.812,5566 4B2A, C,EB,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:57.800,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:58.786,5566 4B2A, C,CA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:20:59.772,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:07.475,557F FFF0, C,DA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:08.462,5566 4B2A, C,DB,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:09.449,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:10.435,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:16.899,5567 FFF8, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:17.888,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:18.595,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:18.876,334B 4B34, 1,08,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:19.576,5566 4B2A, C,DA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:20.555,334B 4B34, 0,E8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:24.864,334B 4B34, 0,F8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:26.816,156D F980, C,7F,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:27.276,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:27.805,334B 4B34, F,49,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:28.257,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:28.793,334B 4B34, 0,08,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:29.235,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:29.780,334B 4B34, 0,A8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:30.765,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:34.401,557F FFE0, C,F8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:35.384,334B 4B34, 0,A8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:36.364,334B 4B34, 0,C8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:37.341,334B 4B34, 0,D8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:37.476,3FFF FE00, 0,B8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:38.465,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:39.453,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:40.440,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:42.228,5566 4B2B, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:43.215,334B 2D66, 0,B8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:44.199,334B 2D66, 0,88,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:47.454,334B 2D67, 0,C8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:48.443,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:49.431,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:50.418,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:55.816,5566 4B2B, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:56.826,5566 552D, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:21:59.656,5566 552D, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:00.643,5566 4B2A, C,D9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:07.656,5566 4B2B, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:08.644,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:09.632,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:10.618,5566 4B2A, C,D9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:14.727,5566 4B2F, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:15.734,5566 4B4B, E,C8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:17.632,5566 4B4B, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:17.750,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:18.621,5566 4B4B, F,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:18.753,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:19.609,57FF FC00, E,99,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:20.631,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:27.857,5566 4B2B, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:28.846,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:29.834,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:30.821,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:35.060,5566 4B2B, D,08,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:36.070,5566 552D, E,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:37.835,5566 552F, E,59,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:38.447,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:38.824,5566 4B4B, E,79,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:39.811,5566 4B2A, D,0A,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:40.798,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:41.474,5566 4B00, C,FA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:41.783,5566 4B4B, E,B8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:42.482,557F FFC0, C,FA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:43.493,5566 4B4B, D,98,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:44.501,5566 4B4B, F,39,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:45.506,5566 4B4B, 0,78,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:48.371,5566 4B4B, E,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:49.360,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:50.348,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:51.335,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:52.320,5566 4B2A, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:58.970,5567 FFF8, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:22:59.959,5566 4B2A, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:00.947,5566 4B2A, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:01.934,5566 4B2A, D,0A,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:02.919,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:09.383,557F FFE0, D,18,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:10.373,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:11.360,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:12.346,5566 4B2A, C,CA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:19.300,5566 4BFF, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:20.289,5566 4B2A, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:21.277,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:29.464,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:30.453,5566 4B2A, C,F8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:31.441,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:39.441,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:40.430,5566 4B2A, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:41.418,5566 4B2A, D,1A,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:42.404,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:49.425,5566 4B2B, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:49.665,5566 552D, C,9C,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:50.434,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:50.654,5566 552F, C,FA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:51.642,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:52.629,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:58.542,5566 4B2F, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:23:59.704,3043 0000, E,59,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:00.692,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:01.680,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:02.666,5566 4B2A, C,DA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:03.652,5566 4B00, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:06.562,557F FFC0, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:10.236,334F FF80, F,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:11.227,5566 4B2A, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:12.214,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:13.200,5566 4B2A, D,08,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:20.458,5566 4B2B, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:21.447,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:22.435,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:22.744,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:23.422,3FFF 8000, F,3A,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:30.495,5566 4B2F, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:31.484,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:32.472,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:33.458,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:40.532,5566 4BFF, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:41.521,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:42.314,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:42.509,334B 4B52, E,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:43.496,5566 4B2A, C,CA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:50.817,5566 4B2B, C,CB,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:51.338,5566 4B2A, C,AB,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:51.806,334B 4B52, F,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:52.325,5566 4B2A, C,AC,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:24:53.781,334B 4B52, D,D8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:00.792,5566 4B2B, C,DC,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:01.781,5566 4B2A, C,A9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:02.769,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:03.756,5566 4B2A, C,C9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:11.014,5566 4B2B, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:12.003,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:12.991,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:13.432,5566 4B2A, D,08,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:13.978,E000 0000, F,A8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:14.963,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:21.794,553F FFE0, C,F8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:22.783,5566 4B2A, C,FA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:23.771,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:24.758,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:27.103,5566 4B2B, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:31.627,5566 552F, D,28,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:31.767,5566 552D, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:32.756,5566 4B2A, D,39,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:33.744,5566 4B2A, D,18,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:33.834,5566 4B2A, D,18,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:34.731,5566 4B4B, E,88,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:34.836,5566 4B2A, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:35.716,553F FFC0, E,AA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:42.977,557F FFE0, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:43.966,5566 4B2A, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:44.954,5566 4B2A, D,49,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:45.941,5566 4B2A, D,38,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:52.947,5566 4B2B, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:53.936,5566 4B2A, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:54.924,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:55.910,5566 4B2A, D,09,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:25:56.896,5566 4B00, D,18,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:26:04.032,553F FFE0, D,1A,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:26:05.021,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:26:06.009,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:26:06.996,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:26:09.267,5566 4B2B, C,C9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:26:10.277,5566 552D, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:26:11.285,5566 552D, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:26:14.311,9FFF E000, D,2B,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:26:16.288,5566 4B2A, C,BB,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:26:16.996,5566 4B2A, C,CA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:26:17.275,5566 552D, E,88,2015-09-06T10:18:39.514,ASL/16/3937*2F

