Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time
2015-08-21T10:13:10.075,E3B2 6BDE,AE,1B,2015-08-21T10:13:09.516,ASL/16/3937*21
2015-08-21T10:16:29.592,334B 4B52,DA,8C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:16:30.576,334B 4B42,D4,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:16:32.296,33FF FE00,D3,88,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:16:46.826,334B 2FFF,CD,B9,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:16:47.814,334B 4B52,D2,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:16:59.650,334B 4B52,CA,AF,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:17:00.638,334B 4B52,CE,A3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:17:01.623,334B 4B52,D0,A4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:18:26.773,334B 8000,D9,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:18:27.759,334B 664B,D0,9B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:18:31.246,334B 664B,D2,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:18:32.249,5566 0B4A,C5,EB,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:02.231,5566 4BC0,C6,E1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:03.236,5566 4B4B,D0,9B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:04.238,5566 4B4B,CE,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:05.144,5566 4B4B,CE,9F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:15.086,5566 4B2A,C3,DE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:15.743,5566 4B2A,C5,E7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:20.194,334B 4B34,C9,D0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:22.213,5566 4B4B,C8,E2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:32.612,1566 4B4B,C4,DB,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:33.591,334B 4B34,D2,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:34.972,334B 4B34,C5,D2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:38.950,5566 4B2A,C5,DB,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:40.938,5566 4B2A,C3,E4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:45.910,5566 4B2A,C7,CD,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:49.159,5566 4B2A,C6,EE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:49.888,334B 4B34,CC,B3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:52.111,5566 4B2A,C5,E3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:19:54.079,334B 4B34,C8,D3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:20:09.777,334B 4B34,C8,DC,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:20:21.314,1566 4B2A,C5,E6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:20:24.333,5566 4B4B,CB,B9,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:20:32.652,5566 4B4B,C9,BF,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:20:37.625,5166 4B2A,C4,E4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:20:40.609,5566 0B28,C4,EE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:22:45.968,5566 4B28,C4,D6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:24:21.981,4562 4228,C4,F0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:24:36.864,334B 4B52,C7,D0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:24:37.875,5566 4B4B,CE,A0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:24:39.888,5566 4B4B,CF,A6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:24:41.168,5566 4B4B,CC,A0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:25:03.491,334B 4B52,CC,B8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:25:26.803,334B 4B52,C6,C8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:25:28.818,5566 4B4B,D2,8A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:26:23.480,5566 4B4B,C6,E6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:26:27.438,334B 4B52,CC,BC,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:26:59.094,334B 4B52,DA,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:27:00.081,334B 4B52,D9,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:27:01.065,334B 4B52,D4,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:27:15.194,334B FFFC,D4,94,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:29:14.929,334B 4B52,C6,E2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:29:15.914,334B 4B52,DC,94,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:29:56.042,334B 4B52,DB,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:30:08.631,334B 2D34,D3,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:30:09.620,334B 4B52,D7,8A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:30:11.591,334B 4B52,C8,CE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:31:46.285,337F FFF0,C9,CA,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:31:47.290,5566 4B4B,D1,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:31:48.292,5566 4B4B,D1,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:31:51.841,553F FFE0,D6,B1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:31:52.849,5566 4B4B,D2,90,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:31:53.853,5566 4B4B,D4,8B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:32:12.665,5566 4B4F,D3,9C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:32:16.707,5566 4BCB,C8,CF,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:32:17.715,5566 4B4B,CB,B5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:32:18.719,5566 4B4B,D1,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:32:23.401,5566 4B4B,D0,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:32:24.387,334B 4B52,C9,C0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:33:49.996,3343 4B52,C9,C5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:33:50.981,334B 4B52,CE,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:18.028,334B 4B52,CD,C8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:25.526,334B 2FFF,E1,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:27.537,5566 4B4B,CE,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:35.913,5566 7FFF,CA,DE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:36.923,5566 4B4B,D7,86,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:37.933,5566 4B4B,D5,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:38.944,5566 4B4B,DC,9A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:39.954,5566 4B4B,D4,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:40.964,5566 4B4B,D6,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:41.974,5566 4B4B,D5,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:42.985,5566 4B4B,D5,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:43.995,5566 4B4B,D5,99,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:45.004,5566 4B4B,D5,8E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:46.013,5566 4B4B,D6,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:47.022,5566 4B4B,D7,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:35:48.027,5566 4B4B,D5,A8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:36:11.111,5566 4B4B,D3,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:36:12.115,5566 4B4B,CF,9D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:36:59.848,5566 4B4B,D2,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:37:00.639,5066 0B2A,C6,FA,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:37:07.802,3FFF 0000,DB,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:37:13.768,5546 4B2A,C2,ED,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:48:54.621,5562 4B2A,C4,E5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:49:03.181,4064 0A2A,C3,F5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:49:07.211,5566 4B4B,D5,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:49:14.538,5566 4B4B,C4,E3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:49:15.547,5566 4B4B,CE,B6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:49:16.555,5566 4B4B,CA,B9,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:49:45.455,5566 4B4B,CA,B6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:49:46.459,5566 4B4B,CD,B1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:53:18.030,5567 FFFF,CC,D5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:53:19.033,5566 4B4B,D0,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:53:30.433,5566 4BC0,D1,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:53:31.440,5566 4802,E5,B6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:53:32.444,5566 4B4B,DC,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:54:45.591,5566 4B4F,DB,94,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:54:46.593,5566 4B4B,CE,A7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:04.878,557F FFF8,CF,B2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:06.894,5566 4B4B,D4,8C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:19.158,5566 4B4B,CC,B1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:23.998,334A 0B52,C5,E8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:27.715,66CC AAA2,C3,E8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:28.719,5566 4B4B,DA,90,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:29.722,5566 4B4B,DB,8A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:30.724,5566 4B4B,D8,8B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:32.049,553F FFF8,D6,A0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:33.041,334B 4B52,CC,B3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:34.032,334B 4B52,C8,C1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:36.016,334B 4B52,C7,B8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:37.008,334B 4B52,C9,B0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:37.999,334B 4B52,CB,B2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:38.991,334B 4B52,CB,AC,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:52.741,334B 4B52,CA,A8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:53.751,5566 4B4B,E8,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:54.761,5566 4B4B,E5,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:55.771,5566 4B4B,E9,8B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:56.781,5166 4B48,D9,A0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:57.792,5566 4B4B,D1,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:55:58.802,1566 4B43,E3,A9,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:56:00.813,5566 4B4B,DC,8E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:56:31.823,5566 4B4B,EB,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:57:06.016,334B 4B52,C5,DE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:57:31.443,334B 4B52,C6,DE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:57:32.874,334B 4B12,C5,DD,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:57:33.877,5566 4B4B,EB,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:57:47.761,7FFF E000,EC,A5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:57:48.769,5566 4B4B,DA,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:57:49.775,5566 4B4B,C9,CB,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:58:16.718,5566 4B4B,E8,9A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:58:19.754,334B 4B52,C7,D2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:58:20.764,5566 4B4B,D1,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:58:21.773,5566 4B4B,E7,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:58:22.778,5566 4B4B,EE,8E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:58:36.937,5566 4B4B,EF,94,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:58:37.924,334B 4B52,C7,CA,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:58:38.908,334B 4B52,C8,CD,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:59:05.879,33C0 0000,CB,A6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:59:07.858,334B 4B52,C6,D3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:59:36.716,334B 4B52,C8,E1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:00:54.220,334B 4B52,C9,C4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:01:03.779,334B 2A55,CB,C3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:01:10.407,334B 4B52,C9,C2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:01:11.406,314B 2A55,C7,CB,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:01:22.942,330B 2A15,C7,FA,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:01:24.912,334B 4B52,CD,BD,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:01:42.616,337F FFC0,C8,E7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:01:43.606,334B 4B52,C9,D5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:01:44.595,334B 4B52,C9,D0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:01:45.583,334B 4B52,C9,C8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:00.418,334B 4B52,C6,D5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:02.238,334B 4B52,C9,C4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:26.492,5566 4B4B,E9,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:27.500,5566 4B4B,EA,90,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:27.820,5566 4B4B,ED,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:28.509,334B 4B52,C7,D7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:29.519,5566 4B4B,EA,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:30.527,5566 4B4B,E6,9C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:31.534,5566 4B4B,DC,8A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:32.540,5566 4B4B,DF,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:33.543,5566 4B4B,E0,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:45.219,5566 4B4B,E5,A4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:47.194,334B 4B52,CA,CF,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:48.182,334B 4B52,C7,CD,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:50.152,334B 4B52,C7,D3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:50.424,E800 0000,C6,B2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:51.430,5566 4B4B,E5,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:52.434,5566 4B4B,E1,8B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:53.438,5566 4B4B,E4,96,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:54.441,5566 4B4B,E3,8E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:56.763,5566 4B4F,E4,AC,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:02:59.568,330B 2A54,C5,E1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:00.538,5566 4B4B,E4,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:01.543,5566 4B4B,E1,89,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:02.544,5566 4B4B,E0,89,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:08.084,5566 4BFF,E5,B0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:09.094,5566 4B4B,E3,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:10.104,5566 4B4B,E5,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:11.114,5566 4B4B,E3,8C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:12.124,5566 4B4B,E2,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:13.133,5566 4B4B,E4,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:14.142,5566 4B4B,DD,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:15.152,5566 4B4B,DD,8A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:16.162,5566 4B4B,DF,8B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:17.172,5566 4B4B,D7,85,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:18.182,5566 4B4B,E0,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:19.228,5566 4B4B,E0,87,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:20.203,5566 4B4B,E2,94,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:21.213,5566 4B4B,D8,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:22.223,5566 4B4B,D4,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:23.233,5566 4B4B,CF,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:24.243,5566 4B4B,D6,8E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:25.288,5566 4B4B,DE,8A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:26.261,5566 4B4B,E5,A4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:27.268,5566 4B4B,E0,87,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:28.272,5566 4B4B,E1,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:29.275,5566 4B4B,E0,88,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:32.826,5566 4B7F,E5,A3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:33.835,5566 4B4B,E1,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:34.844,5566 4B4B,DF,89,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:35.855,5566 4B4B,E3,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:36.864,5566 4B4B,DC,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:37.872,5566 4B4B,DB,94,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:38.881,5566 4B4B,E3,A4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:39.889,5566 4B4B,DE,94,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:40.897,5566 4B4B,DE,87,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:41.906,5566 4B4B,DD,88,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:42.916,5566 4B4B,E1,88,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:43.926,5566 4B4B,E0,85,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:44.937,5566 4B4B,E0,88,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:45.946,5566 4B4B,DF,8E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:46.957,5566 4B4B,DB,8E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:47.119,5566 4B4B,D9,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:48.003,334B 2A55,CB,C2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:48.978,5566 4B4B,D3,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:49.989,5566 4B4B,DB,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:50.996,5566 4B4B,DA,89,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:52.006,5566 4B4B,D9,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:53.015,5566 4B4B,DC,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:54.025,5566 4B4B,DD,8C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:55.035,5566 4B4B,DE,8A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T11:03:56.045,5566 4B4B,DF,8C,2015-08-21T10:13:09.516,ASL/16/3937*21

