Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time2015-11-17T12:36:59.233,E3B2 7BFF, E,E1,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:02.701,30FA 24FF, 4,CD,2015-11-17T12:36:58.551,ASL/16/3937*2E
2015-11-17T12:39:51.592,66AD B4CC, D,3B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:57.381,66AD B4CF, C,FA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:58.362,26AD B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:06.431,66A9 B4CC, D,0C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:10.381,66A9 B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:14.248,5566 482A, C,FA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:15.228,66AD B4CC, D,0A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:21.337,66AD B4CF, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:22.319,66AD B4C8, D,3B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:29.217,66A9 A4CC, D,5C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:30.199,66AD A48C, D,0C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:34.722,66AD B4CC, D,1C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:37.352,5566 4B2A, C,F9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:38.333,66AD B4C4, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:39.314,662D B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:46.215,66AD B4CF, D,0A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:47.195,66AD B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:53.307,66AD B4CF, D,3A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:40:59.389,66AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:01.191,5566 4B2A, C,F9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:02.173,62AD B4CC, D,3C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:09.330,66AD B4CC, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:10.312,26A5 B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:11.292,668D B4CC, D,0C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:17.279,66AD B4FF, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:18.260,46AD A4CC, D,4B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:24.380,66AD B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:26.464,5566 4B2A, C,EA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:27.444,62AC B4CC, D,2C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:34.477,66AD BFFF, D,0A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:35.457,66AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:41.765,66AD B4FF, D,0A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:42.747,66AD B4CC, D,3B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:49.758,26A9 B4CC, D,1C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:50.763,5566 4B2A, C,F9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:51.743,66AD B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:41:58.780,66AD B7FF, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:06.799,648D B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:07.779,66AD A4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:13.838,66AD BFFF, D,29,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:14.819,66AD B4CC, D,3A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:15.784,602D B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:21.922,5566 4B2A, C,F9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:22.903,66A5 B4CC, D,1D,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:25.702,66AD B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:26.692,334B 2D66, C,CA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:29.659,334B 2D66, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:30.005,334B 2D66, C,EA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:31.638,66AD B4CC, C,FA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:31.966,334B 2D66, C,CB,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:32.628,66AD 7FFF, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:34.606,334B 0D66, C,5D,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:35.593,334B 2D66, C,F9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:36.577,334B 2D66, C,DA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:38.091,334B 2D66, C,FA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:39.072,66AD B4CC, C,FB,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:40.052,66AD B4CC, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:41.940,66AD BFFF, D,49,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:43.282,5566 4B2A, C,DA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:44.266,334B 2D66, D,28,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:47.158,334B 2D66, D,48,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:48.138,46AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:54.263,66AF FFFE, C,FA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:42:55.244,66AD B4CC, D,1D,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:02.349,66A5 B4CC, D,3B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:03.330,66AD B4CC, C,DB,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:04.310,66A5 B4CC, C,FB,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:08.357,66AF FFF8, C,FA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:10.499,5566 4B2A, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:11.480,66AD B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:12.460,66AD 34CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:18.648,66AD FFFF, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:19.629,62AD B4CC, D,0C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:20.609,66A9 B4CC, D,2C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:26.861,67FF FFC0, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:27.842,66AD B4CC, D,0C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:28.822,64AD B4CC, D,3C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:35.137,66AD BFFF, D,39,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:35.296,66AD B4CC, C,FB,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:36.118,5566 4B2A, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:37.098,668D B4CC, D,1C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:43.414,66BF FFE0, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:44.395,66AD B4CC, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:45.375,66AC B4CC, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:51.756,66AD BFFF, D,4A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:52.737,66AD B4CC, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:43:53.717,62AD 94CC, D,3B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:00.035,66BF FFE0, D,49,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:01.017,66AD B4CC, D,4B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:01.996,62AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:03.271,66AD BFFF, D,39,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:09.362,5566 4B2A, C,F9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:10.342,66A5 B4CC, D,4B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:16.792,67FF FF00, D,29,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:17.773,66AD B4CC, D,2C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:25.203,66AD B4CC, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:27.163,66AD B4CC, D,3B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:31.568,67FF FF80, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:33.612,5566 4B2A, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:34.593,66AD B4C4, C,DC,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:35.573,46AD B4CC, C,FB,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:42.024,66AD 7FFF, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:43.005,62AD B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:43.984,66AD B4CC, D,29,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:50.500,66BF FFC0, D,0A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:58.975,62AD B4CC, D,3A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:44:59.928,66AD B4CC, C,FB,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:00.935,5566 4B2A, C,FA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:07.514,67FF FF80, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:09.510,66AD B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:16.053,66AD FFFF, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:24.593,66AD B4CC, D,39,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:25.574,66AC B4CC, C,FA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:26.553,62AD B4CC, D,2C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:28.678,66BF FFFC, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:34.176,5566 4B2A, C,F9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:35.156,66AD B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:41.798,66AF FFF8, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:43.759,66AD B4CC, C,FB,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:50.657,66AF FFFC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:51.638,66AD B4CC, C,CA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:52.618,66AD B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:57.303,66AF FFFC, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:45:59.325,5566 4B2A, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:00.305,66AD B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:01.285,662D B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:08.247,66AD 7FFF, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:09.228,668D B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:10.208,6405 B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:16.915,66AD 7FFF, C,FB,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:17.896,66AD 94CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:18.875,662D B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:25.838,66AF FFFC, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:26.315,66AD B4C4, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:27.798,5566 4B2A, C,FA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:34.506,66AF FFFC, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:35.487,66AD B44C, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:36.467,62AD B4CC, D,3B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:43.493,66AF FFF8, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:52.225,66AD B4CC, D,1C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:54.185,66AD B4CC, D,1C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:46:55.522,66AF FFF8, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:01.215,5566 4B2A, D,0A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:02.196,62AD B4C4, D,2C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:03.175,66AD B4CC, D,2C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:10.015,66AF FFF0, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:11.975,66AC B4CC, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:18.879,7FFF F000, C,F9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:19.860,66AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:26.281,44AD B4CC, D,1C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:27.679,5566 4B2A, C,EA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:28.660,64AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:37.610,26AD B4CF, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:44.450,66AF FFF8, C,F9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:45.430,26AD B4CC, D,1C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:52.485,26AD B4CF, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:53.466,66AD 94CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:47:57.750,66AD B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:01.286,5566 4B2A, C,FB,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:02.266,66AD B4CC, C,FB,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:10.239,66AD B4CF, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:11.218,66AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:18.060,66BF FFF0, D,39,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:19.040,66AD B4CC, D,1C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:20.020,46AD B4CC, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:26.863,67FF FE00, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:27.844,62AD B4CC, D,3A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:28.823,66AD B4CC, D,3A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:29.668,66BF FFF0, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:35.859,5566 4B2A, C,E9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:37.819,66AD B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:45.516,66AF FFF8, D,3B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:46.495,66AD B4CC, D,3C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:53.468,66DF FFF0, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:48:54.448,66AD B4CC, D,7C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:49:01.911,64A9 B4CC, D,2C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:49:03.126,5566 4B2A, C,FB,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:49:04.106,2225 B4CC, D,2C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:49:11.014,66AF FFFE, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:49:11.995,66AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

