Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time2015-10-07T09:14:37.978,E392 69DE, A,E1,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:14:39.928,00F8 64FF, 4,CD,2015-10-07T09:14:37.514,ASL/16/3937*2C
2015-10-07T10:32:52.279,66CC AAAA, F,C8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:33:01.600,66CC A000, F,F8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:33:03.586,66CC AAAA, D,C9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:33:05.575,66CC AAAA, D,C8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:33:07.562,66CC AAAA, E,F9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:33:09.545,66CC AAAA, F,69,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:33:48.904,66CC 0000, F,D8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:33:50.893,66CC AAAA, D,E9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:33:52.877,66CC AAAA, E,48,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:34:27.095,66CC AAAA, E,69,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:34:29.082,66CC AAAA, E,68,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:34:31.069,66CC AAAA, E,29,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:34:33.052,66CC AAAA, D,08,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:35:04.135,66CC 0000, F,28,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:35:06.117,66CC AAAA, D,B9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:35:08.102,66CC AAAA, D,49,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:35:10.086,66CC AAAA, F,78,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:35:12.069,66CC AAAA, F,48,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:36:50.347,66CC 0000, 0,38,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:36:52.335,66CC AAAA, E,D9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:36:54.318,66CC AAAA, E,98,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:37:09.575,66CC AA80, F,08,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:37:11.562,66CC AAAA, E,88,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:37:13.546,66CC AAAA, E,FA,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:37:26.841,66CC AAAA, F,9A,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:41:37.619,66CC AAAA, F,F8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:41:39.606,66CC AAAA, F,18,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:41:41.594,66CC AAAA, E,68,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:41:43.581,66CC AAAA, E,88,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:41:45.569,66CC AAAA, E,E9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:41:47.552,66CC AAAA, E,F9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:48:24.387,66CC A800, E,FA,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:48:26.372,66CC AAAA, E,89,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:48:28.355,66CC AAAA, E,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:50:36.785,66CC AA00, E,59,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:50:48.487,66CC AAAA, F,E9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:50:50.470,66CC AAAA, F,B8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:51:03.189,0000 0000, 0,08,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:51:05.176,66CC AAAA, E,59,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:51:07.159,66CC AAAA, F,B9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:51:34.492,66C0 0000, 0,48,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:51:36.477,66CC AAAA, F,B9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:51:38.465,66CC AAAA, E,98,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:51:40.452,66CC AAAA, F,59,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:51:42.439,66CC AAAA, F,09,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:51:44.423,66CC AAAA, 0,59,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:53:34.861,66CC A800, 0,A8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:53:36.848,66CC AAAA, C,EC,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:53:38.833,66CC AAAA, F,A9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:53:40.819,66CC AAAA, F,E8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:53:42.804,66CC AAAA, F,C8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:54:01.684,66CC AAAA, 0,28,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:54:03.668,66CC AAAA, 0,48,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:54:43.938,66CC AAA0, 0,19,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:54:45.921,66CC AAAA, 0,88,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:55:25.149,6000 0000, 0,D8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:55:27.136,66CC AAAA, 0,28,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:55:52.852,66CC AAAA, 0,D8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:55:54.839,66CC AAAA, 0,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:55:56.822,66CC AAAA, 0,38,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:55:58.810,66CC AAAA, E,EA,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:56:00.793,66CC AAAA, 0,08,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:57:26.642,66CC 8000, F,F8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:57:28.630,66CC AAAA, F,A9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:57:41.161,66CC AAAA, 0,48,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:57:43.108,66CC AAAA, 1,38,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:58:07.977,66C0 0000, F,E8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:58:33.625,66CC 0000, 1,08,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:58:35.610,66CC AAAA, 0,D8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:58:37.598,66CC AAAA, F,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:58:39.581,66CC AAAA, 0,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:58:41.566,66CC AAAA, 0,98,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:59:00.235,66CC AAAA, F,A9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:59:02.219,66CC AAAA, 1,C8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:59:48.670,66CC AA80, 2,38,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:01:58.385,66CC AAAA, 1,A8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:02:00.368,66CC AAAA, 0,B8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:02:05.441,66CC AAA0, 0,68,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:02:07.425,66CC AAAA, 0,98,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:02:12.913,6680 0000, 0,98,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:02:14.899,66CC AAAA, F,79,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:02:16.886,66CC AAAA, 0,78,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:02:18.870,66CC AAAA, 1,48,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:03:16.679,66CC AA80, 1,38,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:03:18.665,66CC AAAA, 0,D8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:03:20.651,66CC AAAA, F,E9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:06:50.291,66CC AAAA, E,49,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:07:04.997,66CC AAAA, 0,78,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:07:06.984,66CC AAAA, E,E9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:07:08.968,66CC AAAA, 0,39,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:07:16.094,66CC A800, F,F9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:07:18.080,66CC AAAA, E,A9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:07:20.101,66CC AAAA, E,7A,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:07:22.051,66CC AAAA, F,19,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:07:24.038,66CC AAAA, 0,68,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:11.099,66CC AAAA, 0,D8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:13.086,66CC AAAA, F,59,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:15.072,66CC AAAA, F,59,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:17.059,66CC AAAA, E,D9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:19.045,66CC AAAA, D,E8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:21.032,66CC AAAA, E,F9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:23.020,66CC AAAA, F,D8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:25.004,66CC AAAA, F,A9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:38.537,66CC AAAA, 0,28,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:40.524,66CC AAAA, F,69,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:42.509,66CC AAAA, F,49,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:44.495,66CC AAAA, E,FA,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T11:08:46.516,66CC AAAA, 0,28,2015-10-07T09:14:37.514,ASL/16/3937*2C

