Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time2015-10-28T11:40:30.780,E3B2 71DE, E,E1,2015-10-28T11:40:30.097,ASL/16/3937*20

2015-10-30T09:31:26.273,E3B2 6BFF, E,E1,2015-10-30T09:31:25.589,ASL/16/3937*2B
2015-10-30T09:34:14.400,660D A0CC, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:34:22.318,66A5 A0C8, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:34:28.256,6629 B408, C,7F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:34:45.082,6629 3484, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:34:55.584,64A9 B088, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:35:07.847,66CC D252, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:35:08.836,46A9 348C, C,7F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:35:15.765,66AD 344C, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:35:30.643,62AD 3448, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:35:31.645,668C 9292, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:35:41.499,66C0 D0D2, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:35:51.679,66A9 B4CC, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:35:57.690,6444 D2D2, C,2F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:36:08.709,6684 C0D2, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:36:24.738,06CC 52D2, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:36:32.966,46C8 D290, C,3E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:36:35.936,6028 A0C8, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:36:42.864,66AC 34CC, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:36:46.822,468D B0CC, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:36:58.699,208D 048C, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:36:59.688,662D B44C, C,7F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:37:11.564,66A9 B4CC, C,2F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:37:15.522,66AD 94CC, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:37:19.481,66AC 14CC, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:37:20.842,6625 A4CC, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:37:24.429,66C4 D2C2, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:37:25.418,66AD B4CC, C,8F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:37:35.866,62AD B4CC, C,7F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:37:58.078,66C8 C2C0, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:38:01.904,42A4 304C, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:38:04.908,66CC D2D2, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:38:05.996,66C4 D2D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:38:15.892,662D 3080, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:38:18.915,42AD 34CC, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:38:20.841,66C8 C2D2, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:38:23.908,64AD 94CC, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:38:41.625,624C D2D2, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:38:44.837,220D 34C8, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:38:53.502,02C4 D2D2, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:38:57.461,24A9 B0C8, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:39:31.115,46AC B488, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:39:36.064,4489 2488, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:39:58.876,62A9 34CC, C,3E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:40:05.758,66CC D292, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:40:08.727,62A8 B448, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:40:11.697,6625 30CC, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:40:13.677,660D 34C4, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:40:18.626,668D 248C, C,2F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:40:36.875,22AC B0C8, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:40:43.847,64CC D0D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:41:00.208,6484 D290, C,2F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:41:22.076,66AD B088, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:41:23.973,664C C2D2, C,7E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:41:40.807,66AD B4C4, C,0E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:41:42.788,66AD B488, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:41:44.769,66AD B4CC, C,7D,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:41:51.701,66A9 B4CC, C,8E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:41:52.691,46AD 10CC, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:42:01.156,24AD 348C, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:42:02.151,66CC 92D2, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:42:08.535,06FF 77F8, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:42:13.486,26AD B4C4, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:42:19.428,46AD 34CC, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:42:28.341,662D B4CC, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:42:33.292,668D 94CC, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:42:45.176,662D 94CC, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:42:48.379,66AD B4CC, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:42:56.634,064C 5290, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:43:06.962,648C D2D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:43:07.953,66AD B4C8, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:43:08.608,62AD B4C8, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:43:12.904,62CC D1F3, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:43:20.826,442D 94CC, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:43:34.691,668D B44C, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:43:45.584,66AD B0CC, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:43:51.526,66AD B4CC, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:43:57.468,66AD A488, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:44:06.372,6689 B40C, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:44:32.403,4604 D0C2, C,2F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:44:33.120,64C8 D2D2, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:44:53.914,44A9 B0C8, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:44:58.865,648D 90CC, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:45:07.450,4629 B084, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:45:11.456,66C8 92C2, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:45:29.559,668C D252, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:45:42.505,06A8 34C0, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:45:54.527,46CC 92D2, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:46:01.538,664C D2D2, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:46:09.552,64CC D252, C,2E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:46:24.579,248C D2D2, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:46:29.953,66C8 D2D2, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:46:39.852,66AC 9448, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:46:47.623,06AC 9444, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:47:18.463,4688 C2D2, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:47:23.699,46A9 B0CC, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:47:33.720,22C4 D2C0, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:47:40.736,464C 5252, C,3E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:47:43.743,6408 C2C2, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:47:49.154,66C8 92D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:48:06.977,64A9 344C, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:48:12.808,22A5 B48C, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:48:17.869,66C8 D282, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:48:39.871,42AD B40C, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:48:59.458,6044 D2D2, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:01.923,66AD B48C, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:04.930,64C8 9252, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:12.331,66CC D292, C,7E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:16.959,440D A088, C,1F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:18.964,64CC D2D2, C,7E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:20.969,66CC D292, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:21.971,66CC D290, C,8F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:23.976,66CC D2D2, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:24.979,66CC D2D2, C,7E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:25.981,66CC D0D0, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:28.989,464C D2C2, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:32.999,66CC D292, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:36.006,66C8 D2D2, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:39.014,64CC D2C2, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:49:42.021,664C C2D2, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:01.070,66CC D0D2, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:17.110,464C D2C0, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:29.141,66C4 C2D2, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:29.572,66CC D252, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:32.149,400C A000, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:34.154,6644 5252, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:35.156,66CC D2D2, C,6D,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:38.164,66CC C2D2, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:43.177,648C C292, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:48.190,66C4 52D2, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:49.192,668C D292, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:56.211,66CC C2D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:58.216,66CC D0D0, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:50:59.284,268C 52D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:51:10.178,66AD B404, C,2F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:51:16.264,40A9 94CC, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:51:19.272,66CC D2D2, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:51:21.278,66CC D050, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:51:29.299,66CC D2D2, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:51:35.316,24CC 90D2, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:51:37.321,62CC 5292, C,3E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:51:41.332,62CC D292, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:51:44.341,66CC D2D2, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:51:45.838,6284 D2D0, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:51:46.346,4625 B44C, C,2F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:51:56.373,66CC C252, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:52:00.696,66CC D2D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:52:07.630,0629 A4CC, C,2F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:52:16.544,6421 948C, C,3E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:52:24.467,22AD A404, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:52:33.478,22AD 10C8, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:52:35.484,648C D2D2, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:52:37.489,664C D292, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:52:38.491,664C D2D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:52:39.494,66CC D252, C,7E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:52:46.513,66C8 D042, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:52:56.541,46CC 9242, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:53:07.571,66CC C0D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:53:09.577,468C C052, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:53:12.585,62CC D2D2, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:53:17.598,66CC D2D0, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:53:23.614,66C4 9292, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:53:31.635,648C D0D0, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:53:34.785,6244 D2D2, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:53:43.665,66AD B48C, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:53:46.670,66CC 52D0, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:00.708,46A9 B0C8, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:04.717,62CC 42D0, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:13.739,664C D2D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:21.338,664C C2D2, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:22.329,620D B0CC, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:24.766,4625 B44C, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:31.244,46CC D0D2, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:34.789,26A5 34CC, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:36.794,46C4 92D2, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:38.798,66CC D2D2, C,5D,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:47.818,62CC D2D2, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:48.821,66CC D2D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:49.823,66CC D252, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:52.829,66C4 D2D2, C,8E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:54.834,66CC D2D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:55.836,66CC D2D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:56.007,26CC D0D2, C,7E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:54:58.842,240D B0CC, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:01.848,64CC 92D2, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:03.853,26CC D2D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:04.854,624C 525A, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:09.865,66CC D292, C,7E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:12.871,44CC 52D2, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:13.834,26CC D290, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:19.776,662D 944C, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:24.894,662D B4CC, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:31.907,46CC D2D2, C,4D,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:37.913,66CC 92D2, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:42.915,46CC D2D2, C,8E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:43.916,62CC D2D2, C,4D,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:46.921,66CC D2D2, C,7E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:55:53.928,66CC 50D2, C,9E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:56:01.368,66C4 D2D2, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:56:04.924,6489 30CC, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:56:08.920,66CC D2D2, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:56:29.094,26CC 9252, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:56:31.074,66AC B44C, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:56:42.957,4621 B4C8, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:56:48.899,602D A0CC, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:56:52.860,662D 30C8, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:56:54.005,64A9 34C8, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:57:01.772,60CC C3D5, C,7F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:57:09.694,6629 90CC, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:57:10.499,668D B4CC, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:57:15.636,66CC D292, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:57:18.606,6221 B4CC, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:57:20.587,66AD B4CC, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:57:24.548,228D B4CC, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:57:32.258,66AD 94CC, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:57:39.963,06CC DF7C, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:57:41.954,62C8 92C2, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:57:50.815,66C4 D292, C,7E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:57:59.095,664C D2D2, C,3E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:58:09.110,62CC D2D2, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:58:16.041,66A9 B48C, C,5E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:58:23.963,4609 B4CC, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:58:29.905,622D 10C8, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:58:41.683,46AD 948C, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:58:50.445,20C8 D2C7, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:59:29.323,66CC D092, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

